kulut_muut,kunta,kulut_muut_viestintavalineet,kulut_vaalitilaisuudet,muu_tuki,lainat,etunimi,omat_varat,kulut_radio,kulut_kaikki,yritys_tuki,puolue_lyh,kulut_tietoverkot,rahoitus_kaikki,kulut_televisio,valitetty_tuki,kulut_painettu_mat,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,kulut_tuen_hankintakulut,kulut_mainonnan_suunnittelu,kulut_ulkomainonta,kulut_lehdet,ammatti,yksityinen_tuki,puolue_tuki
0,Satakunnan vaalipiiri,0,0,0,0,Piia Kaarina,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Risku-Myllyharju,0,0,0,0,"filosofian maisteri, biologian ja maantieteen opettaja",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Noora-Stiina,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Kekki,0,0,0,0,opiskelija,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Mia Christina,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Fagerlund,0,0,0,0,"lääketieteen lisensiaatti, erikoislääkäri",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Maria Annika,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Väkiparta,0,0,0,0,"filosofian maisteri, kauppatieteiden maisteri",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Marika,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Nirhamo,0,0,0,0,sosiaalityöntekijä,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Klaus Antero Tapio,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Unkuri,0,0,0,0,"yhteiskuntatieteiden ylioppilas, opiskelija",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Heikki Pekka,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Rantala,0,0,0,0,"projektipäällikkö, hallintotieteiden tohtori",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Heikki Juhani,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Kruus,0,0,0,0,"teologian maisteri, psykoterapeutti",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Hannele Anna-Liisa,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Helander,0,0,0,0,"psykiatrinen sairaanhoitaja, perheterapeutti",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Esa Matti,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Rintala,0,0,0,0,"lääketieteen tohtori, ylilääkäri",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Anne Elina,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Liinamaa,0,0,0,0,"kasvatustieteen maisteri, opettaja",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Anne Maarit,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Satakunnan vaalipiiri,Bland,0,0,0,0,yrittäjä,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Susanna Tuulikki,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Ruponen,0,0,0,0,dokumentaatioassistentti,0,0
0,Satakunnan vaalipiiri,0,0,0,0,Raisa Anne-Maria,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Ranta,0,0,0,0,"hankeneuvoja, insinööri",0,0
0,Satakunnan vaalipiiri,0,0,0,0,Mikko Juhani,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Satakunnan vaalipiiri,Kaunisto,0,0,0,0,"kirvesmies, yrittäjä",0,0
